course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts
HarvardX/PH207x/2012_Fall,MHxPC130492960,1,1,1,1,India,Bachelor's,1990.0,f,9/29/12,12/31/12,1237.0,18.0,74.0,12.0,0
HarvardX/PH207x/2012_Fall,MHxPC130242576,1,1,0,0,India,Bachelor's,1978.0,m,8/11/12,4/4/13,650.0,18.0,197.0,3.0,0
HarvardX/CB22x/2013_Spring,MHxPC130501993,1,0,0,0,Unknown/Other,Bachelor's,1986.0,m,1/11/13,11/17/13,,,,,0
HarvardX/PH207x/2012_Fall,MHxPC130180065,1,1,1,1,United Kingdom,Master's,1981.0,f,7/27/12,1/13/13,8317.0,64.0,523.0,15.0,0
HarvardX/ER22x/2013_Spring,MHxPC130484459,1,1,0,0,United Kingdom,Master's,1976.0,m,6/18/13,6/18/13,3.0,1.0,,1.0,0
HarvardX/ER22x/2013_Spring,MHxPC130362551,1,1,1,1,Other Africa,Master's,1974.0,m,12/31/12,8/14/13,1388.0,44.0,,33.0,0
HarvardX/PH207x/2012_Fall,MHxPC130015424,1,0,0,0,Unknown/Other,Bachelor's,1989.0,m,11/4/12,,,,,,0
HarvardX/ER22x/2013_Spring,MHxPC130186174,1,1,0,1,Other Europe,,,,12/21/12,6/22/13,621.0,9.0,,9.0,0
HarvardX/PH207x/2012_Fall,MHxPC130022497,1,0,0,0,Other Europe,Secondary,1993.0,f,10/11/12,10/11/12,2.0,1.0,,,0
HarvardX/CS50x/2012,MHxPC130367118,1,0,0,0,Unknown/Other,Secondary,1994.0,m,8/13/12,,,,,,0
HarvardX/ER22x/2013_Spring,MHxPC130578327,1,1,1,1,United States,Master's,1946.0,m,12/31/12,8/8/13,1564.0,46.0,,32.0,0
HarvardX/CB22x/2013_Spring,MHxPC130088364,1,1,0,0,Canada,Bachelor's,1988.0,m,6/13/13,8/16/13,367.0,17.0,,9.0,0
HarvardX/ER22x/2013_Spring,MHxPC130401191,1,0,0,0,Nigeria,Bachelor's,1976.0,m,2/26/13,,,,,,0
HarvardX/ER22x/2013_Spring,MHxPC130488267,1,1,0,0,United Kingdom,Master's,1972.0,m,5/8/13,6/11/13,443.0,8.0,,12.0,0
HarvardX/PH207x/2012_Fall,MHxPC130559027,1,1,1,1,Other Africa,Bachelor's,1987.0,f,10/9/12,1/19/13,3312.0,26.0,33.0,13.0,0
HarvardX/PH278x/2013_Spring,MHxPC130240774,1,1,0,0,United States,Bachelor's,1969.0,m,5/7/13,5/23/13,139.0,10.0,7.0,1.0,0
HarvardX/CS50x/2012,MHxPC130182170,1,1,0,0,United States,Bachelor's,1990.0,m,12/16/12,4/1/13,2.0,1.0,,1.0,0
HarvardX/ER22x/2013_Spring,MHxPC130227752,1,1,1,1,France,Secondary,1991.0,f,3/30/13,8/9/13,1205.0,22.0,,33.0,0
HarvardX/CS50x/2012,MHxPC130281455,1,0,0,0,Unknown/Other,Bachelor's,1988.0,m,8/13/12,,,,,,0
HarvardX/ER22x/2013_Spring,MHxPC130359863,1,1,0,0,Australia,Bachelor's,1991.0,f,4/20/13,4/20/13,7.0,1.0,,1.0,0
HarvardX/CS50x/2012,MHxPC130174547,1,0,0,0,India,Secondary,1992.0,m,6/26/13,6/26/13,1.0,1.0,,,0
HarvardX/ER22x/2013_Spring,MHxPC130497544,1,0,0,0,India,Bachelor's,1988.0,m,12/21/12,,,,,,0
HarvardX/CB22x/2013_Spring,MHxPC130069081,1,1,0,1,India,Secondary,1993.0,m,12/21/12,8/28/13,600.0,19.0,,13.0,0
HarvardX/PH207x/2012_Fall,MHxPC130307540,1,0,0,0,India,Bachelor's,1990.0,m,7/24/12,10/3/12,2.0,2.0,,,0
HarvardX/CS50x/2012,MHxPC130306811,1,0,0,0,United States,Doctorate,1981.0,m,11/13/12,,,,,,0
HarvardX/ER22x/2013_Spring,MHxPC130334906,1,0,0,0,Poland,Master's,1978.0,m,12/21/12,,,,,,0
HarvardX/ER22x/2013_Spring,MHxPC130414656,1,1,1,1,Egypt,Bachelor's,1992.0,f,7/25/13,8/3/13,1363.0,10.0,,32.0,0
HarvardX/CS50x/2012,MHxPC130252604,1,1,1,1,Brazil,Bachelor's,1970.0,m,9/21/12,4/24/13,495.0,33.0,,12.0,0
HarvardX/PH207x/2012_Fall,MHxPC130292962,1,1,0,0,Other South Asia,Bachelor's,1991.0,f,7/27/12,10/24/12,546.0,9.0,80.0,3.0,0
HarvardX/CS50x/2012,MHxPC130462520,1,1,0,0,United States,Bachelor's,1984.0,f,2/28/13,3/1/13,12.0,2.0,,1.0,0
HarvardX/CB22x/2013_Spring,MHxPC130480733,1,1,1,1,Brazil,Bachelor's,1984.0,f,12/27/12,9/7/13,2177.0,51.0,,27.0,0
HarvardX/PH207x/2012_Fall,MHxPC130456027,1,1,1,1,India,Bachelor's,1987.0,f,10/20/12,1/20/13,3468.0,22.0,1.0,13.0,0
HarvardX/ER22x/2013_Spring,MHxPC130311838,1,0,0,0,India,Secondary,1993.0,f,12/30/12,3/12/13,1.0,1.0,,,0
HarvardX/ER22x/2013_Spring,MHxPC130350450,1,0,0,0,Unknown/Other,Master's,1979.0,m,12/26/12,,,,,,0
HarvardX/CB22x/2013_Spring,MHxPC130036947,1,1,1,1,United States,Less than Secondary,1997.0,f,1/14/13,9/4/13,4244.0,58.0,,27.0,0
HarvardX/CB22x/2013_Spring,MHxPC130567071,1,0,0,0,Unknown/Other,Secondary,1991.0,f,12/21/12,11/17/13,,,,,0
HarvardX/PH207x/2012_Fall,MHxPC130045514,1,1,0,0,India,Master's,1975.0,f,7/25/12,11/8/12,452.0,4.0,105.0,5.0,0
HarvardX/CS50x/2012,MHxPC130175096,1,1,0,0,United States,Bachelor's,1985.0,m,10/30/12,4/21/13,33.0,4.0,,2.0,0
HarvardX/ER22x/2013_Spring,MHxPC130454633,1,1,1,1,United Kingdom,Secondary,1996.0,f,7/15/13,8/15/13,1481.0,9.0,,31.0,0
HarvardX/PH207x/2012_Fall,MHxPC130579700,1,1,1,1,United States,Master's,1985.0,m,8/18/12,1/18/13,4621.0,51.0,523.0,16.0,0
HarvardX/CS50x/2012,MHxPC130006134,1,0,0,0,Unknown/Other,Bachelor's,1994.0,m,8/20/12,,,,,,0
HarvardX/PH207x/2012_Fall,MHxPC130489040,1,0,0,0,Unknown/Other,Master's,1987.0,m,10/12/12,,,,,,0
HarvardX/ER22x/2013_Spring,MHxPC130295186,1,1,1,1,United States,Master's,1954.0,m,2/14/13,7/29/13,1711.0,61.0,,32.0,0
HarvardX/ER22x/2013_Spring,MHxPC130582878,1,1,1,1,Other Europe,,,m,2/15/13,8/27/13,4427.0,62.0,,34.0,0
HarvardX/ER22x/2013_Spring,MHxPC130376778,1,0,0,0,Philippines,Secondary,1993.0,m,1/14/13,,,,,,0
HarvardX/PH207x/2012_Fall,MHxPC130300980,1,1,1,1,Spain,Master's,1982.0,f,9/3/12,1/17/13,8716.0,44.0,2299.0,15.0,0
HarvardX/PH207x/2012_Fall,MHxPC130234772,1,1,1,1,Spain,Master's,1988.0,m,9/5/12,1/18/13,2751.0,22.0,209.0,13.0,0
HarvardX/PH278x/2013_Spring,MHxPC130345285,1,1,1,1,Other South Asia,Bachelor's,1989.0,f,2/25/13,7/30/13,1101.0,16.0,31.0,7.0,0
HarvardX/PH207x/2012_Fall,MHxPC130342482,1,0,0,0,Other Africa,Secondary,1990.0,m,9/15/12,9/15/12,2.0,1.0,,,0
HarvardX/PH207x/2012_Fall,MHxPC130051122,1,1,1,1,United Kingdom,Master's,1975.0,m,10/14/12,1/20/13,2005.0,17.0,87.0,16.0,0
HarvardX/ER22x/2013_Spring,MHxPC130328557,1,1,1,1,United States,,,m,2/27/13,8/5/13,1776.0,44.0,,28.0,2
HarvardX/ER22x/2013_Spring,MHxPC130330304,1,0,0,0,Other South America,Master's,1988.0,m,1/28/13,,,,,,0
HarvardX/PH207x/2012_Fall,MHxPC130330499,1,1,1,1,Canada,,,,8/14/12,3/31/13,8594.0,56.0,1106.0,16.0,0
HarvardX/ER22x/2013_Spring,MHxPC130140100,1,0,0,0,United States,Secondary,1992.0,m,7/25/13,,,,,,0
HarvardX/CS50x/2012,MHxPC130209547,1,1,1,1,United States,,,,9/29/12,5/10/13,61.0,23.0,,12.0,0
HarvardX/PH207x/2012_Fall,MHxPC130119082,1,1,1,1,Spain,Master's,1984.0,f,10/16/12,1/17/13,6588.0,27.0,1658.0,14.0,0
HarvardX/PH278x/2013_Spring,MHxPC130334024,1,0,0,0,United Kingdom,Master's,1984.0,m,1/17/13,,,,,,0
HarvardX/ER22x/2013_Spring,MHxPC130563582,1,1,0,0,Egypt,Bachelor's,1992.0,f,3/11/13,3/14/13,12.0,3.0,,2.0,0
HarvardX/PH278x/2013_Spring,MHxPC130464020,1,1,1,1,Other Middle East/Central Asia,Master's,1987.0,m,12/29/12,6/15/13,627.0,4.0,6.0,6.0,0
HarvardX/CS50x/2012,MHxPC130414777,1,0,0,0,Other East Asia,Bachelor's,1987.0,m,9/1/13,9/1/13,2.0,1.0,,,0
HarvardX/PH207x/2012_Fall,MHxPC130537972,1,1,1,1,United States,Doctorate,1975.0,f,10/15/12,1/20/13,9526.0,55.0,2218.0,15.0,0
HarvardX/ER22x/2013_Spring,MHxPC130396106,1,1,0,0,Germany,,,,7/15/13,7/15/13,17.0,1.0,,2.0,0
HarvardX/ER22x/2013_Spring,MHxPC130427965,1,0,0,0,Unknown/Other,Bachelor's,1991.0,m,1/12/13,,,,,,0
HarvardX/CS50x/2012,MHxPC130490822,1,1,1,1,India,Bachelor's,1994.0,m,9/15/12,5/10/13,576.0,47.0,,12.0,0
HarvardX/CS50x/2012,MHxPC130194211,1,1,0,0,Other East Asia,Bachelor's,1986.0,m,10/15/12,3/3/13,32.0,8.0,,5.0,0
HarvardX/ER22x/2013_Spring,MHxPC130500784,1,0,0,0,Australia,Secondary,1994.0,m,1/6/13,,,,,,0
HarvardX/CB22x/2013_Spring,MHxPC130337575,1,1,0,0,Canada,Secondary,1991.0,m,8/22/13,8/22/13,49.0,2.0,,3.0,0
HarvardX/CS50x/2012,MHxPC130356476,1,0,0,0,Unknown/Other,Secondary,1990.0,m,10/16/12,,,,,,0
HarvardX/CS50x/2012,MHxPC130144749,1,1,1,1,Other Europe,Less than Secondary,1995.0,m,10/8/12,4/28/13,416.0,41.0,,12.0,0
HarvardX/CB22x/2013_Spring,MHxPC130186775,1,0,0,0,Brazil,Secondary,1993.0,f,5/7/13,5/7/13,1.0,1.0,,,0
HarvardX/ER22x/2013_Spring,MHxPC130476482,1,1,0,1,Philippines,Bachelor's,1989.0,m,4/20/13,7/24/13,308.0,6.0,,7.0,0
HarvardX/ER22x/2013_Spring,MHxPC130040536,1,1,1,1,Brazil,Master's,1983.0,m,12/27/12,9/6/13,1655.0,42.0,,24.0,0
HarvardX/ER22x/2013_Spring,MHxPC130513536,1,1,1,1,Other South Asia,Bachelor's,1986.0,f,7/16/13,7/27/13,759.0,12.0,,32.0,0
HarvardX/CS50x/2012,MHxPC130302245,1,1,0,0,Egypt,Bachelor's,1989.0,m,5/1/13,5/1/13,9.0,1.0,,3.0,0
HarvardX/PH207x/2012_Fall,MHxPC130295367,1,1,1,1,"Other North & Central Amer., Caribbean",Bachelor's,1988.0,f,10/18/12,2/23/13,4568.0,45.0,771.0,14.0,0
HarvardX/CB22x/2013_Spring,MHxPC130153300,1,1,1,1,Greece,Secondary,1993.0,f,3/12/13,8/12/13,1933.0,40.0,,25.0,1
HarvardX/PH207x/2012_Fall,MHxPC130385670,1,0,0,0,Russian Federation,Master's,1988.0,m,8/18/12,8/18/12,1.0,1.0,,,0
HarvardX/CS50x/2012,MHxPC130524426,1,0,0,0,Unknown/Other,Less than Secondary,1995.0,m,9/5/12,,,,,,0
HarvardX/PH207x/2012_Fall,MHxPC130497132,1,1,1,1,Spain,Master's,1982.0,f,10/15/12,1/20/13,6644.0,34.0,751.0,14.0,0
HarvardX/PH207x/2012_Fall,MHxPC130348389,1,1,1,1,Egypt,Bachelor's,1985.0,m,10/3/12,9/2/13,1844.0,28.0,97.0,15.0,0
HarvardX/CB22x/2013_Spring,MHxPC130288878,1,1,1,1,Other Europe,Secondary,1991.0,f,7/2/13,9/7/13,2662.0,42.0,,26.0,0
HarvardX/ER22x/2013_Spring,MHxPC130199825,1,1,1,1,India,Secondary,1994.0,f,4/4/13,8/16/13,1157.0,24.0,,28.0,0
HarvardX/CS50x/2012,MHxPC130007199,1,1,0,0,Other Africa,Bachelor's,1980.0,m,9/26/12,3/21/13,4.0,1.0,,2.0,0
HarvardX/CS50x/2012,MHxPC130562291,1,1,1,1,"Other North & Central Amer., Caribbean",Secondary,1984.0,m,8/13/12,5/10/13,257.0,42.0,,12.0,0
HarvardX/PH207x/2012_Fall,MHxPC130422334,1,1,1,1,Other South Asia,Master's,1977.0,f,10/21/12,1/19/13,12300.0,52.0,4712.0,16.0,0
HarvardX/PH278x/2013_Spring,MHxPC130449727,1,1,1,1,France,Master's,1988.0,m,1/2/13,8/22/13,2551.0,30.0,536.0,6.0,0
HarvardX/CS50x/2012,MHxPC130497527,1,1,1,0,Other Africa,Secondary,1985.0,m,10/31/12,4/22/13,67.0,18.0,,8.0,0
HarvardX/PH207x/2012_Fall,MHxPC130477225,1,1,1,1,Spain,Master's,1987.0,f,9/8/12,1/19/13,3039.0,21.0,135.0,13.0,0
HarvardX/ER22x/2013_Spring,MHxPC130098369,1,0,0,0,Unknown/Other,Bachelor's,1986.0,m,1/5/13,,,,,,0
HarvardX/CS50x/2012,MHxPC130492677,1,1,1,1,Other South America,,,,8/18/12,7/11/13,430.0,38.0,,12.0,0
HarvardX/ER22x/2013_Spring,MHxPC130096465,1,0,0,0,Unknown/Other,Bachelor's,1984.0,m,12/23/12,,,,,,0
HarvardX/CS50x/2012,MHxPC130390517,1,1,1,1,India,Secondary,1991.0,f,8/17/12,7/9/13,396.0,41.0,,12.0,0
HarvardX/ER22x/2013_Spring,MHxPC130452147,1,1,1,1,India,Bachelor's,1990.0,m,3/9/13,8/12/13,1043.0,21.0,,20.0,2
HarvardX/CS50x/2012,MHxPC130335334,1,0,0,0,Unknown/Other,Master's,1976.0,m,10/14/12,,,,,,0
HarvardX/CS50x/2012,MHxPC130224921,1,0,0,0,India,Bachelor's,1992.0,m,2/23/13,2/23/13,2.0,1.0,,,0
HarvardX/CB22x/2013_Spring,MHxPC130151683,1,0,0,0,Other South America,Secondary,1991.0,f,2/25/13,9/6/13,19.0,2.0,,,0
HarvardX/CB22x/2013_Spring,MHxPC130025351,1,1,1,1,Greece,Secondary,1979.0,m,3/26/13,7/12/13,1194.0,17.0,,22.0,0
HarvardX/PH207x/2012_Fall,MHxPC130091517,1,1,1,1,Other Africa,Master's,1984.0,m,10/16/12,3/14/13,2330.0,37.0,26.0,12.0,0
HarvardX/PH278x/2013_Spring,MHxPC130063493,1,0,0,0,India,Master's,1979.0,f,2/7/13,2/25/13,2.0,2.0,,,0
HarvardX/CS50x/2012,MHxPC130008358,1,0,0,0,Unknown/Other,Master's,1987.0,f,8/3/12,,,,,,0
HarvardX/PH278x/2013_Spring,MHxPC130550925,1,1,0,1,United States,,,,1/20/13,6/24/13,906.0,13.0,69.0,4.0,0
HarvardX/ER22x/2013_Spring,MHxPC130253714,1,1,0,0,United States,Less than Secondary,1996.0,m,3/29/13,3/30/13,21.0,2.0,,2.0,0
HarvardX/PH207x/2012_Fall,MHxPC130034728,1,0,0,0,United States,Master's,1984.0,f,10/17/12,10/17/12,2.0,1.0,,,0
HarvardX/CS50x/2012,MHxPC130320585,1,1,1,1,Other South Asia,Secondary,1992.0,m,1/4/13,4/19/13,464.0,42.0,,12.0,0
HarvardX/PH207x/2012_Fall,MHxPC130230744,1,1,1,1,Nigeria,Master's,1981.0,f,10/16/12,9/2/13,3249.0,60.0,428.0,15.0,0
HarvardX/CB22x/2013_Spring,MHxPC130184776,1,0,0,0,United States,Bachelor's,1956.0,f,4/17/13,4/18/13,4.0,1.0,,,0
HarvardX/ER22x/2013_Spring,MHxPC130570694,1,1,1,1,United States,Master's,1955.0,f,3/6/13,6/29/13,1703.0,49.0,,34.0,0
HarvardX/ER22x/2013_Spring,MHxPC130211369,1,1,1,1,Other Africa,Bachelor's,1982.0,m,6/20/13,8/15/13,2701.0,31.0,,32.0,0
HarvardX/ER22x/2013_Spring,MHxPC130229932,1,0,0,0,Unknown/Other,Bachelor's,1986.0,m,12/20/12,,,,,,0
HarvardX/PH207x/2012_Fall,MHxPC130540833,1,0,0,0,United Kingdom,Bachelor's,1971.0,f,10/15/12,10/15/12,3.0,1.0,,,0
HarvardX/CS50x/2012,MHxPC130551022,1,1,1,1,Australia,Secondary,1983.0,m,1/3/13,5/1/13,59.0,16.0,,12.0,0
HarvardX/CS50x/2012,MHxPC130310354,1,0,0,0,Canada,Master's,1970.0,m,4/13/13,,,,,,0
HarvardX/ER22x/2013_Spring,MHxPC130044988,1,1,0,1,Other East Asia,Secondary,1996.0,f,2/26/13,8/10/13,503.0,19.0,,10.0,0
HarvardX/ER22x/2013_Spring,MHxPC130288327,1,1,1,1,United States,Master's,1968.0,m,1/14/13,8/16/13,2534.0,35.0,,34.0,0
HarvardX/PH207x/2012_Fall,MHxPC130420221,1,1,0,0,Other East Asia,Bachelor's,1989.0,f,8/2/12,11/30/12,366.0,4.0,74.0,2.0,0
HarvardX/CS50x/2012,MHxPC130179547,1,1,0,0,United Kingdom,,,,6/17/13,7/8/13,14.0,2.0,,1.0,0
HarvardX/CS50x/2012,MHxPC130455853,1,1,0,0,Other Middle East/Central Asia,Secondary,1993.0,m,9/5/12,3/4/13,2.0,1.0,,1.0,0
HarvardX/CS50x/2012,MHxPC130582338,1,0,0,0,Colombia,Bachelor's,1988.0,m,5/11/13,5/11/13,7.0,2.0,,,0
HarvardX/CS50x/2012,MHxPC130015591,1,1,1,1,United States,Secondary,1995.0,m,8/12/12,5/19/13,77.0,21.0,,12.0,0
HarvardX/CS50x/2012,MHxPC130315343,1,0,0,0,Unknown/Other,Master's,1989.0,m,9/30/12,,,,,,0
HarvardX/ER22x/2013_Spring,MHxPC130148332,1,1,0,0,Mexico,Bachelor's,1990.0,m,1/4/13,6/6/13,25.0,2.0,,1.0,0
HarvardX/PH207x/2012_Fall,MHxPC130217343,1,1,1,1,United States,Master's,1974.0,m,10/16/12,5/29/13,17490.0,62.0,4628.0,16.0,0
HarvardX/CS50x/2012,MHxPC130541757,1,0,0,0,India,Secondary,1993.0,m,7/21/13,,,,,,0
HarvardX/PH207x/2012_Fall,MHxPC130595037,1,1,1,1,India,Master's,1981.0,m,10/5/12,8/27/13,6728.0,108.0,1120.0,16.0,0
HarvardX/ER22x/2013_Spring,MHxPC130386930,1,1,1,1,United States,,,,7/24/13,9/1/13,1254.0,11.0,,33.0,0
HarvardX/CS50x/2012,MHxPC130124507,1,1,0,0,Other Europe,,,,12/8/12,5/23/13,1.0,1.0,,2.0,0
HarvardX/ER22x/2013_Spring,MHxPC130127947,1,0,0,0,United States,Bachelor's,1964.0,m,12/20/12,,,,,,0
HarvardX/ER22x/2013_Spring,MHxPC130319870,1,1,1,1,Pakistan,Master's,1986.0,m,3/9/13,8/15/13,2054.0,44.0,,33.0,0
HarvardX/CS50x/2012,MHxPC130494317,1,0,0,0,India,Master's,1989.0,m,10/15/12,,,,,,0
HarvardX/ER22x/2013_Spring,MHxPC130453189,1,1,0,1,Japan,Bachelor's,1988.0,m,5/8/13,7/4/13,592.0,7.0,,11.0,0
HarvardX/ER22x/2013_Spring,MHxPC130437517,1,1,0,0,United States,Bachelor's,1987.0,m,4/26/13,4/27/13,168.0,2.0,,3.0,1
HarvardX/CS50x/2012,MHxPC130324355,1,0,0,0,Unknown/Other,Bachelor's,1990.0,m,8/28/12,,,,,,0
HarvardX/PH207x/2012_Fall,MHxPC130490428,1,1,0,0,Russian Federation,Master's,1987.0,f,8/12/12,10/21/12,72.0,5.0,7.0,2.0,0
HarvardX/CS50x/2012,MHxPC130277441,1,0,0,0,Other Europe,Bachelor's,1984.0,m,4/12/13,4/12/13,3.0,1.0,,,0
HarvardX/CS50x/2012,MHxPC130437631,1,1,1,0,Russian Federation,Bachelor's,1989.0,m,8/24/12,6/24/13,8.0,2.0,,7.0,0
